Entry	Status	Protein names	Gene names
A0MV37	unreviewed	Orthodenticle A	otxA
B7T147	unreviewed	EGF-like domain-containing protein	
G8HTB0	unreviewed	Uncharacterized protein	
B7T140	unreviewed	SUEL-type lectin domain-containing protein	
Q1W380	unreviewed	Putative SoxB transcription factor (Fragment)	
C1KH64	unreviewed	Snail-2	
B7T145	unreviewed	Uncharacterized protein	
A0A0B5KG64	unreviewed	Caspase 8 (EC 3.4.22.61)	
D7NNB1	unreviewed	Uncharacterized protein	
G8HT92	unreviewed	Uncharacterized protein	
G8HTC2	unreviewed	14_3_3 domain-containing protein	
Q95WF8	unreviewed	Nuclear receptor AmNR6	
B3VMK3	unreviewed	Triglyceride lipase	
G8HTC0	unreviewed	Uncharacterized protein	
A0A0H3TYV3	unreviewed	Chromoprotein CP506	CP506
Q09K98	unreviewed	C014-D2 G-protein coupled receptor	
D3G8G8	unreviewed	Cytochrome b (Fragment)	cytb
B6DC06	unreviewed	PaxC (Fragment)	PaxC
A0A089ND74	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COX1
Q2EZ91	unreviewed	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2) (Fragment)	
Q2EZ93	unreviewed	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2) (Fragment)	
B6DC05	unreviewed	PaxC (Fragment)	PaxC
A0A2D0W596	unreviewed	Cytochrome b (Fragment)	cytb
A0A1S7IWM5	unreviewed	Fluorescent protein (Fragment)	MWE
A0A0A8ICB3	unreviewed	N-acetyl-D-galactosamine binding lectin	AtTL-2
A0A2D0W5A5	unreviewed	Cytochrome b (Fragment)	cytb
A0A2D0W5B1	unreviewed	Cytochrome b (Fragment)	cytb
A0A1S7IWK8	unreviewed	Fluorescent protein (Fragment)	MWE
A0A0K2S4T0	unreviewed	Red fluorescent protein-like Tl6 (Fragment)	RFP-like
Q9TDU9	unreviewed	ATP synthase subunit a (Fragment)	ATP6
Q3C1X5	unreviewed	Uncharacterized protein AtSym-02	AtSym-02
A0A2D0W7L5	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
U5QT94	unreviewed	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	nad5
Q9TDU5	unreviewed	ATP synthase subunit a (Fragment)	ATP6
Q8MUZ5	unreviewed	Mini-collagen (Fragment)	
U5QSR6	unreviewed	Cytochrome b	cob
Q9TDV8	unreviewed	Cytochrome b (Fragment)	cytb
A0A3G1PSA2	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A6F8VGH6	unreviewed	Thioredoxin	TRX
Q8SJB4	unreviewed	NADH dehydrogenase subunit 4L (NADH-ubiquinone oxidoreductase chain 4L)	nad4L
U5QPD1	unreviewed	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	nad5
I0IUJ1	unreviewed	Green fluorescent protein	
A0A1S7IWP0	unreviewed	Fluorescent protein (Fragment)	CP
A0A2D0W563	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A1B4Z101	unreviewed	Brachyury transcription factor	brachyury
A0A1S7IWM2	unreviewed	Fluorescent protein (Fragment)	MWE
A0A2P1M5N2	unreviewed	Cytochrome b (Fragment)	CYTB
Q9TDW2	unreviewed	Cytochrome b (Fragment)	cytb
A0A059U7W6	unreviewed	Carbonic anhydrase (EC 4.2.1.1) (Fragment)	
U5QPD5	unreviewed	ATP synthase subunit a	atp6
A0A1S7IWM0	unreviewed	Fluorescent protein (Fragment)	MWE
U5QPH8	unreviewed	NADH:ubiquinone reductase (H(+)-translocating) (EC 7.1.1.2)	nad2
A0A2D0W7N5	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
Q9XLF0	unreviewed	Cytochrome b (Fragment)	cytb
Q9TBV7	unreviewed	NADH dehydrogenase subunit 4L (Fragment)	ND4L
A0A2P1M5N1	unreviewed	Cytochrome b (Fragment)	CYTB
Q9TBW0	unreviewed	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2)	ND4
Q8SJB5	unreviewed	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2)	nad4
U5QPT4	unreviewed	NADH dehydrogenase subunit 4L (NADH-ubiquinone oxidoreductase chain 4L)	nad4L
A0A3G1PSD2	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
U5QT98	unreviewed	ATP synthase subunit a	atp6
U5QT39	unreviewed	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2)	nad1
A0A1S7IWM1	unreviewed	Fluorescent protein (Fragment)	MWE
Q8SJB3	unreviewed	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2)	nad3
Q8SJB2	unreviewed	ATP synthase subunit 8	atp8
U5QTA1	unreviewed	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2)	nad3
A0A1S7IWJ8	unreviewed	Fluorescent protein (Fragment)	M LWE
U5QSW9	unreviewed	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2)	nad1
A0A2D0W505	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
U5QPI2	unreviewed	Cytochrome c oxidase subunit 2	cox2
A0A2D0W595	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A1S7IWM3	unreviewed	Fluorescent protein (Fragment)	MWE
A0A2P1M5L4	unreviewed	Cytochrome b (Fragment)	CYTB
A0A1S7IWL7	unreviewed	Fluorescent protein (Fragment)	MWE
A0A1S7IWK5	unreviewed	Fluorescent protein (Fragment)	MWE
Q66PV1	unreviewed	Chromoprotein	
A0A3G1PSD9	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A3G1PSC9	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
U5QPM4	unreviewed	Cytochrome c oxidase subunit 3	cox3
A0A2D0W594	unreviewed	Cytochrome b (Fragment)	cytb
A0A1E1FFX9	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A3F9F0	unreviewed	Histone H2B (Fragment)	
A0A2P1M5M2	unreviewed	Cytochrome b (Fragment)	CYTB
A0A1E1FG15	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A1C9ZWR4	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A292GDS2	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A292GBZ5	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A292GEC1	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A1D0A089	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
U5QP96	unreviewed	NADH:ubiquinone reductase (H(+)-translocating) (EC 7.1.1.2)	nad2
A0A1E1FG08	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A2D0W5A2	unreviewed	Cytochrome b (Fragment)	cytb
A0A1E1FG06	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A292GJZ0	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A2D0W7M5	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A1E1FG03	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
U5QPI5	unreviewed	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2)	nad6
A0A1D0A097	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A1E1FFZ9	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A292GD04	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A1E1FG11	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A1E1FFX4	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A292GJP0	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
U5QPG9	unreviewed	Cytochrome c oxidase subunit 3	cox3
A0A1E1FG00	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A2D0W5E6	unreviewed	Cytochrome b (Fragment)	cytb
A0A292GC06	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
U5QT40	unreviewed	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2)	nad3
U5QSZ2	unreviewed	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2)	nad4
U5QT19	unreviewed	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	nad5
U5QT37	unreviewed	ATP synthase subunit a	atp6
U5QPD4	unreviewed	Cytochrome c oxidase subunit 2	cox2
D3G8H4	unreviewed	Cytochrome b (Fragment)	cytb
U5QPE1	unreviewed	Cytochrome b	cob
A0A2D0W503	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A292GLE2	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A1E1FG07	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A1E1FFY8	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
U5QSW5	unreviewed	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2)	nad1
D3G8G7	unreviewed	Cytochrome b (Fragment)	cytb
A0A348GSC6	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A1E1FFY6	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A1E1FFY2	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A292GLD1	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A1C9ZWS2	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A3F9F3	unreviewed	Histone H2A (Fragment)	
A0A2D0W549	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A292GLQ7	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
Q66PU9	unreviewed	Chromoprotein	
A0A1E1FFX6	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A3F9F2	unreviewed	Histone H2B (Fragment)	
A0A1E1FG04	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A2D0W531	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A1S7IWM4	unreviewed	Fluorescent protein (Fragment)	MWE
A0A1D0A0K4	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A348GSD2	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A1D0A025	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A1C9ZWS6	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A292GLP5	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A292GJR1	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A1E1FFX5	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A1E1FFW4	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A292GJL8	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A292GCZ3	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A1E1FG02	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A1E1FG17	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A292GK02	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A1E1FFX7	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A1E1FFZ1	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
U5QT44	unreviewed	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2)	nad4
A0A3G1PS95	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
Q8M1A2	unreviewed	Cytochrome oxidase subunit III (Fragment)	
B3XXQ5	unreviewed	Putative sulfate transporter of the SLC26A11 family	AtSym-01
A0A1S7IWN3	unreviewed	Fluorescent protein (Fragment)	MWE
D3G8H2	unreviewed	Cytochrome b (Fragment)	cytb
U5QPA1	unreviewed	Cytochrome c oxidase subunit 2	cox2
A0A1S7IWW0	unreviewed	Fluorescent protein (Fragment)	MWE
A0A1S7IWJ9	unreviewed	Fluorescent protein (Fragment)	M LWE
U5QSS1	unreviewed	Cytochrome c oxidase subunit 3	cox3
U5QSX3	unreviewed	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2)	nad4
A0A2P1M5L9	unreviewed	Cytochrome b (Fragment)	CYTB
I0IUJ0	unreviewed	Red fluorescent protein	
Q9TBW4	unreviewed	Cytochrome b	cytb
U5QPL9	unreviewed	Cytochrome b	cob
A0A2D0W5E5	unreviewed	Cytochrome b (Fragment)	cytb
A0A059UGZ2	unreviewed	Carbonic anhydrase (EC 4.2.1.1) (Fragment)	
A0A224ASV7	unreviewed	Heat shock protein 90	hsp90
Q8SJB7	unreviewed	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2)	nad1
A0A1S7IWK7	unreviewed	Fluorescent protein (Fragment)	MWE
A0A1S7IWL8	unreviewed	Fluorescent protein (Fragment)	MWE
U5QT49	unreviewed	ATP synthase F0 subunit 8	atp8
D3G8H0	unreviewed	Cytochrome b (Fragment)	cytb
U5QSX9	unreviewed	ATP synthase F0 subunit 8	atp8
A0A1S7IWK4	unreviewed	Fluorescent protein (Fragment)	M LWE
A0A1S7IWP4	unreviewed	Fluorescent protein (Fragment)	CP
Q8SJB8	unreviewed	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	nad5
A0A0K2S4X1	unreviewed	Red fluorescent protein-like Tl7 (Fragment)	RFP-like
A0A1S7IWK3	unreviewed	Fluorescent protein (Fragment)	MWE
B6DBZ8	unreviewed	PaxC (Fragment)	PaxC
A0A2P1M5M4	unreviewed	Cytochrome b (Fragment)	CYTB
U5QPE0	unreviewed	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2)	nad3
A0A2D0W7U2	unreviewed	Cytochrome b (Fragment)	cytb
A0A2D0W5A7	unreviewed	Cytochrome b (Fragment)	cytb
U5QPS9	unreviewed	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2)	nad6
U5QP51	unreviewed	NADH dehydrogenase subunit 4L (NADH-ubiquinone oxidoreductase chain 4L)	nad4L
A0A2D0W7P4	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
D3G8H1	unreviewed	Cytochrome b (Fragment)	cytb
U5QP45	unreviewed	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2)	nad6
U5QP97	unreviewed	NADH:ubiquinone reductase (H(+)-translocating) (EC 7.1.1.2)	nad2
B1PM92	unreviewed	Calmodulin	CaM
A0A089NEY8	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COX1
A0A2D0W7S2	unreviewed	Cytochrome b (Fragment)	cytb
U5QTA6	unreviewed	Cytochrome b	cob
U5QTB1	unreviewed	Cytochrome c oxidase subunit 3	cox3
A0A2D0W5G6	unreviewed	Cytochrome b (Fragment)	cytb
A0A2D0W597	unreviewed	Cytochrome b (Fragment)	cytb
U5QT59	unreviewed	Cytochrome c oxidase subunit 2	cox2
K7WG56	unreviewed	Putative PCNA (Fragment)	
D3G8H6	unreviewed	Cytochrome b (Fragment)	cytb
A0A292GDR4	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	
A0A3G1PSB1	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A2D0W5A1	unreviewed	Cytochrome b (Fragment)	cytb
U5QT53	unreviewed	NADH:ubiquinone reductase (H(+)-translocating) (EC 7.1.1.2)	nad2
U5QPU6	unreviewed	ATP synthase F0 subunit 8	atp8
A0A2D0W559	unreviewed	Cytochrome b (Fragment)	cytb
A0A2D0W5C4	unreviewed	Cytochrome b (Fragment)	cytb
A0A2D0W547	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A2D0W5C7	unreviewed	Cytochrome b (Fragment)	cytb
A3F9F1	unreviewed	Histone H2A (Fragment)	
B5T1L1	unreviewed	Chromoprotein CP584	
A0A2D0W548	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A2D0W591	unreviewed	Cytochrome b (Fragment)	cytb
U5QPJ2	unreviewed	ATP synthase subunit a	atp6
U5QPT8	unreviewed	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2)	nad1
U5QPN9	unreviewed	NADH dehydrogenase subunit 4L (NADH-ubiquinone oxidoreductase chain 4L)	nad4L
A0A2P1M5P1	unreviewed	Cytochrome b (Fragment)	CYTB
B5T1L0	unreviewed	Cyan fluorescent protein FP483	
U5QPI7	unreviewed	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	nad5
A0A2D0W532	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
U5QPN3	unreviewed	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2)	nad6
U5QSZ7	unreviewed	ATP synthase F0 subunit 8	atp8
A0A2D0W543	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
U5QPM2	unreviewed	NADH dehydrogenase subunit 4L (NADH-ubiquinone oxidoreductase chain 4L)	nad4L
D3G8G1	unreviewed	Cytochrome b (Fragment)	cytb
Q9TDW0	unreviewed	Cytochrome b (Fragment)	cytb
U5QPN0	unreviewed	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2)	nad4
Q9TDU7	unreviewed	ATP synthase subunit a (Fragment)	ATP6
A0A2P1M5L8	unreviewed	Cytochrome b (Fragment)	CYTB
U5QPH7	unreviewed	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2)	nad6
A0A2D0W537	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
D3G8F9	unreviewed	Cytochrome b (Fragment)	cytb
U5QT50	unreviewed	Cytochrome c oxidase subunit 3	cox3
U5QPM5	unreviewed	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2)	nad1
B6DCD3	unreviewed	PaxC (Fragment)	PaxC
D3G8G4	unreviewed	Cytochrome b (Fragment)	cytb
B6DC85	unreviewed	PaxC (Fragment)	PaxC
B6DC15	unreviewed	PaxC (Fragment)	PaxC
A0A2D0W5B0	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
U5QT04	unreviewed	Cytochrome c oxidase subunit 2	cox2
A0A2D0W562	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A2D0W5F6	unreviewed	Cytochrome b (Fragment)	cytb
A0A089PNN2	unreviewed	PaxC (Fragment)	PaxC
H9TRW4	unreviewed	Plasma membrane calcium ATPase (Fragment)	PMCA
A0A2D0W574	unreviewed	Cytochrome b (Fragment)	cytb
U5QPE7	unreviewed	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2)	nad3
A0A2D0W5B5	unreviewed	Cytochrome b (Fragment)	cytb
U5QT00	unreviewed	NADH:ubiquinone reductase (H(+)-translocating) (EC 7.1.1.2)	nad2
B6DC20	unreviewed	PaxC (Fragment)	PaxC
A0A2P1M5M9	unreviewed	Cytochrome b (Fragment)	CYTB
D3G8G0	unreviewed	Cytochrome b (Fragment)	cytb
B6DC87	unreviewed	PaxC (Fragment)	PaxC
A3F9F4	unreviewed	Histone H2B (Fragment)	
A0A2P1M5N5	unreviewed	Cytochrome b (Fragment)	CYTB
A0A2P1M5N0	unreviewed	Cytochrome b (Fragment)	CYTB
A0A089NDB9	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COX1
A0A089N8Y1	unreviewed	PaxC (Fragment)	PaxC
A0A089NDC4	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COX1
