ID,DOI,Title,Date,Keywords,Abstract,Language
Genotypic-inventory-of-Acropora-palmata-elkhorn-coral-populations-in-south-Florida,10.1007/s00227-003-1024-9,Genotypic inventory of Acropora palmata (elkhorn coral) populations in south Florida,January 2020,NA,"The elkhorn coral, Acropora palmata, is the iconic Caribbean reef-building species, and the key constructor of protective reef crest and spur structure. It features as the primary target in the Mission Iconic Reefs 1 plan and was listed under the US Endangered Species Act in 2005. Much of the emerging and emergency efforts toward coral rescue and propagation are currently focused on other species directly affected by Stony Coral Tissue Loss Disease rather than A. palmata. However, this species continues to display precipitous, and perhaps underappreciated, decline in Florida. This document provides a summary of current knowledge, both quantitative and qualitative, regarding the genotypic status of A. palmata populations in Florida as of 2019.",en
Acropora-Scleractinia-in-the-Middle-Eocene-of-Krivbass,NA,NA,NA,NA,"Міністерство освіти і науки України Криворізький національний університет Білозерська геолого-розвідувальна партія (м. Михайлівка, Запорізька обл.) Інгулецький гірничозбагачувальний комбінат (м. Кривий Ріг) Інститут геологічних наук НАН України (м. Київ) Інститут геохімії, мінералогії та рудоутворення ім. М.П.Семененка НАН України (м. Київ) Криворізька гімназія-ліцей №129 Криворізька загально-освітня школа №8 Криворізька комплексна геологічна партія Львівський національний університет імені Івана Франка Мелітопольський державний педагогічний університет імені Богдана Хмельницького Науково-дослідний і проектний інститут «Кривбаспроект» Науково-дослідний і проектний інститут «Механобрчормет» Національний гірничий університет (м. Дніпро) Одеський національний університет імені І.І.Мечникова Північний гірничозбагачувальний комбінат (м. Кривий Ріг) Центральний гірничозбагачувальний комбінат (м. Кривий Ріг) СУЧАСНА ГЕОЛОГІЧНА НАУКА І ПРАКТИКА В ДОСЛІДЖЕННЯХ СТУДЕНТІВ І МОЛОДИХ ФАХІВЦІВ Матеріали ХІV Всеукраїнської науково-практичної конференції Криворізький національний університет, 29-31 березня 2018 р.",uk
rachel_sandquist_poster,10.1186/1750-2187-8-7,NA,NA,NA,"Discussion o Thirty-seven potential TRAF homologs were identified in the P. damicornis genome through local alignment searches and protein domain identification. o Evident phylogenetic separation of the TRAF proteins is observed across vast phyla, though within the cnidarian phyla there seems to be a very close relationship between TRAF proteins. This may imply that evolutionary expansion of the TRAF protein repertoire occurred after the phyla's divergence in evolutionary time o P. damicornis's large and diverse number of TRAF proteins may be suggestive of its ability to better handle and manage stressful condition. A closer regulation of inflammation and apoptosis may to prevent unnecessary tissue damage and cell death in the host (Yang et al., 2015). o Previous coral immunological studies involving the increase expression of NOD-like receptors, AP-1 transcription factors, and TNFR during stress exposure may have implications on how TRAFs are involved in the process of coral general stress response and coral bleaching (Traylor-Knowles et al. 2017; Zhou et al 2017) Conclusion and Future Directions o This study of the TRAF repertoire in Pocillopora damicornis can serve as a starting point in the investigation into the importance of TRAF proteins in coral immunology. A better understanding of the evolutionary relationship between the TRAF proteins seen in multiple coral species and mammalian TRAF proteins may help determine the evolutionary conservation and diversification of this protein family.",en
245731,NA,NA,NA,"MTQ: G45893 -4, Penghu, Chinwan,G45902, Penghu, Fengguei,G43855, G45827 -8, G46430 -1, Nanwan, Tiaoshi,G47619, Nanwan,TUIO: C7196 -8, Nanwan, Tiaoshi,C7199, C7200 -1, Penghu, Chinwan MTQ: G45825 -6, G45829, Nanwan, Tiaoshi,TUIO: C7241 -4, Nanwan, Tiaoshi Acropora palmerae Wells, 1954","Taxonomic Description & Diagnosis Colonies are submassive or form tall columns and branches with laminar bases. Corallites are mostly exsert. The coenosteum is densely covered by papillae of uniform length. Living colonies are brownish, coenosteum papillae usually have white tips, especially on distal parts of branches. Ecology They are commonly found in sheltered environments, especially sheltered lagoons with turbid water and soft substrates. Those found in turbid water are usually laminar and digitate, while submassive and columnar forms occur on reef slopes. Occurrence Southern Taiwan, Penghu Islands. Distribution Distributed in the west Pacific, from Indonesia in the south, to Okinawa-jima in the north. Remarks Montipora cactus resembles Montipora hispida, both having a similar general appearance, but is readily distinguished by the tall thecal papillae on its corallites. A close-up view of branches. Corallites and coenosteum of Montipora cactus. (x 5) Branching colonies of Montipora cactus.",en
61-2 art 121856356055,10.6024/jmbai.2019.61.2.2126-12,NA,15 Jan 2020,"Drupella,Acropora,Pocillopora,Isopora,Porites,Chetlat reef","Coral reefs around the globe are deteriorating at an alarming rate due to anthropogenic and natural stresses, and predation by corallivorous snail is one of them. Coral predation by gastropod snail of the genus Drupella can cause damage to coral reefs. We observed Drupella snail predation on lagoon corals of Chetlat reef, Lakshadweep, India. Our study was to investigate the percentage of damage caused by Drupella sp. to corals, and its feeding preferences at three selected reef stations. We found that the percentage of Drupella affected colonies were more in Station-1 with (21.2%), followed by Station-2 (18.5%) and in Station-3 (10.5%) which was the least affected site. We also found that the Drupella snails were feeding on Scleractinian corals of four genera-Acropora, Pocillopora, Isopora and Porites. Lastly our surveys revealed that Acropora as the most preferred prey species of Drupella on this reef followed by Pocillopora, Isopora and Porites. Our observations give evidence for the presence of corallivorous snail Drupella in declining coral reefs in Lakshadweep archipelago.",en
59-2 ART 12977438002,10.6024/jmbai.2017.59.2.1910-12,Shipwrecks in Andaman and Nicobar Islands: An artificial habitat for corals,30 Dec 2017,"shipwreck,artificial reef,marine biodiversity,Andaman and Nicobar Islands","Globally scleractinian corals are facing the threats of devastation due to anthropogenic activities as well as natural calamities. The concept of artificial reef was developed to increase the parallel reef areas along with the natural reef to strengthen marine biodiversity. The artificial reef ecosystem can be developed with the help of shipwrecks, abandoned tyres, cars etc. while the reef ball concept is the modern one to adapt. Andaman and Nicobar Islands is one of the biologically diverse areas with healthy number of scleractinian corals. Four shipwrecks scattered along the waters of these islands are serving as substratum for 125 species of scleractinian corals. North Bay shipwreck alone reported 114 species under 41 genera with the diversity (H') of 2.91. The studies on natural reef area showed 61% similarity in species content in comparison with the shipwrecks of North Bay region due to the proximity in location. The present study indicates that, shipwrecks serve as artificial substratum for the formation of coral reef with high diversity.",en
Session-42-A-2-Griffin-et-al-Acropora-Final_Sept-2016-1-1,NA,Using photomosaics to monitor Acropora cervicornis thickets created by outplanting nursery-grown corals,NA,"Acropora cervicornis,coral propagation,restoration,outplants,photomosaics","In the last decade, coral nursery operations in the Caribbean have expanded from just a few locations to over 50 programs in over 20 countries. These programs have proven to be effective at increasing the abundance of local populations of Acropora cervicornis where outplanting is conducted. Typical monitoring of outplanted corals normally focuses on individual colonies. Frequently, monitoring at the level of an individual colony becomes more complicated after 1-2 years as corals grow and intertwine, new colonies are created through fragmentation, tags become hard to relocate as they are overgrown, etc. Longer-term monitoring goals (3-5 years) should look at a broader scale that considers the health of thickets created by outplanting, coral and thicket size (expansion or reduction), asexual recruitment, and changes in the structure and health of the whole reef community. Photomosaics are a useful tool for this type of community monitoring. The research presented here used photomosaics collected annually and analyzed with Coral Point Count with Excel Extensions (CPCE) to monitor the growth and expansion of thickets that were outplanted at 2 grounding sites in Puerto Rico, USA.. Using photomosaics, significant increases in coral cover by A. cervicornis and significant decreases in the presence of bare substrate were recorded. Several years after initial outplanting, the outplanted corals at one of the sites have developed into self-sustaining thickets that are expanding through asexual reproduction and have withstood impacts from multiple hurricanes and swells.",en
Geography-and-spawning-season-drive-genetic-divergence-among-populations-of-the-hard-coral-Acropora-tenuis-from-Indonesia-and-Western-Australia,10.1007/s00338-020-01923-9,Geography and spawning season drive genetic divergence among populations of the hard coral Acropora tenuis from Indonesia and Western Australia,NA,"Coral spawning,Connectivity,Dispersal,Gene flow,Genetic divergence Topic Editor Carly Kenkel","It has long been hypothesized that Western Australian coral reefs are genetically connected to those in Indonesia via long-distance dispersal, and that this connection may influence the timing of annual mass coral spawning on Western Australian coral reefs. This genetic connection has not been tested, and it requires re-evaluation because spawning patterns of Western Australian corals are not as synchronous or seasonal as originally thought. Here, we used population genetics to examine patterns of gene flow among populations of the scleractinian coral Acropora tenuis in Indonesia and Western Australia. Analysis of microsatellite data showed that Indonesian and Australian populations are highly genetically differentiated. Importantly, this genetic divergence is associated with differences in the seasonal spawning time of A. tenuis between the two regions, with Indonesian populations dominated by 'spring' spawners and Western Australian populations dominated by 'autumn' spawners, indicating that spawning season has an important influence on genetic structure. Furthermore, negligible gene flow between Indonesia and Western Australia indicates that the recolonization of inshore Western Australian populations since the Last Glacial Maximum was independent of input from Indonesian populations.",en
Devlin-Durante2016_Elkhorn_Polymorphisms,NA,"Genome-wide analysis of single-nucleotide polymorphisms in the endangered elkhorn coral, Acropora palmata. Implications for management",NA,NA,NA,NA
Life-cycles-of-coral-associated-viruses-related-to-diffrent-health-states-collected-in-Hang-Rai-Ninh-Thuan-Vietnam,NA,SÀNG LỌC CÁC CHỦNG VI KHUẨN CÓ KHẢ NĂNG SINH KHÁNG SINH SỐNG CÙNG SAN HÔ CỨNG ACROPORA MURICATA THU TẠI VỊNH NHA TRANG,NA,NA,"Tóm tắt Rạn san hô có ý nghĩa quan trọng đối với hệ sinh thái lẫn kinh tế xã hội. Tuy nhiên, một số lượng lớn rạn san hô hiện đang bị hủy hoại nghiêm trọng bởi bệnh ở san hô gây ra do vi khuẩn gây bệnh. Vì vậy, việc tìm ra những chủng vi khuẩn có khả năng sinh kháng sinh kháng lại vi khuẩn gây bệnh và bảo vệ sức khỏe san hô là việc cấp thiết trong bối cảnh hiện nay. Có 16 chủng vi khuẩn sống cùng san hô cành (Acropora muricata) đã bước đầu được phân lập và thuần chủng. Bằng phương pháp cấy đường vuông góc cho thấy không có chủng vi khuẩn nào trong 16 chủng này thể hiện hoạt tính kháng lại các chủng vi khuẩn kiểm định. Để khắc phục những hạn chế trên, phương pháp khuếch tán thạch được ứng dụng để kiểm tra khả năng sinh hoạt tính của các chủng vi khuẩn phân lập. Kết quả cho thấy có 7 trong 11 chủng đem tách chiết có thể hiện khả năng sinh chất có hoạt tính kháng sinh. Trong số này hai chủng (B16 và B20) có khả năng kháng lại vi khuẩn Serratia marcescens, bốn chủng (B16, B17, B18 và D1) kháng vi khuẩn Salmonella typhimurium, hai chủng (B17 và D1) kháng vi khuẩn Escherichia coli, năm chủng (B16, B17, B18, B19 và D1) kháng vi khuẩn Bacillus subtilis và một chủng (B7) có khả năng kháng lại vi khuẩn Vibrio parahaemoliticus. Như vậy, kết quả này chứng tỏ san hô cứng (Acropora muricata) tại vịnh Nha Trang có chứa nguồn vi khuẩn có khả năng sinh kháng sinh. Điều này là tiền đề quan trọng cho các nghiên cứu ứng dụng bảo vệ rạn san hô cũng như trong y học phục vụ chăm sóc sức khỏe con người.",vi
Increased-density-of-the-corallivore-Drupella-cornus-on-Acropora-muricata-colonies-overgrown-by-Padina-boryana,10.7717/peerj.1239,Increased density of the corallivore Drupella cornus on Acropora muricata colonies overgrown by Padina boryana,NA,"Drupella cornus,Acropora muricata,Padina boryana,corallivorous,effective quantum yield,Mauritius","This study investigated the percentage of shallow, lagoonal Acropora muricata colonies overgrown by the macroalga Padina boryana and the density of Drupella cornus, a corallivorous gastropod on those colonies, during summer (March) and winter (August) of 1998 and from 2010 to 2014 at Flic-en-Flac, Mauritius. In 1998, the percentage of A. muricata colonies covered by P. boryana were 11.11 ± 2.22% (mean ± SE) and 8.89 ± 2.22% for summer and winter, respectively, and D. cornus density was low for both summer (0.60 ± 0.55 individuals m-2 ; mean ± SE) and winter (0.80 ± 0.84 individuals m-2). However, from 2010 to 2014, a high percentage of coral colonies were observed to be covered by P. boryana with peak in summer 2012 (93.33 ± 3.85%). Increased macroalgal coverage in summer coincided with high D. cornus densities of to 30.60 ± 1.21 individuals m-2 in summer 2012. During winters of 2010 to 2014, the percentage of macroalga-covered A. muricata colonies and D. cornus density on the macroalga-covered colonies were lower as compared to summer. Significant positive correlation was obtained between the percentage of P. boryanacovered A. muricata and the density of D. cornus (r = +0.967, p<0.01, Pearson correlation) for both seasons. The effective quantum yield at photosystem II (ФPSII) of in hospite zooxanthellae in A. muricata measured in the healthy part of the coral colony was 0.62 ± 0.01 (mean ± SE) and was significantly higher than in the P. boryana-affected section, 0.27 ± 0.01 (p<0.001, One-way ANOVA). These results suggest that overgrowth of P. boryana is potentially stressful to the A. muricata colonies and that shallow, lagoonal P. boryanacovered colonies might be more vulnerable to D. cornus predation.",en
Pogoreutzetal2020,10.3755/galaxea.11.1,7 The coral holobiont highlights the dependence of cnidarian animal hosts on their associated microbes,NA,NA,NA,NA
52744c7c160ccdc649a2119cf846a3c66a1a,10.3389/fmars.2020.563865,Nutrient Pollution and Predation Differentially Affect Innate Immune Pathways in the Coral Porites porites,03 September 2020,"phenoloxidase,Porites porites,nutrients,parrotfish,coral,predation,disease,corallivory","Reef-building corals face a multitude of threats not only from global climate change but also local stressors such as nutrient pollution. Nutrient enrichment can amplify the negative effects of predation on corals by facilitating dysbiosis in the coral microbiome that leads to coral mortality. These patterns suggest that nutrient pollution might suppress the capacity of the coral immune system to respond to microbial infections that follow mechanical injury from predation. Here, we measured the impact of nutrient enrichment and predation on tyrosinase-type and laccase-type phenoloxidase (PO) activities, which are key components of immune defense pathway involved in melanin synthesis and wound healing in corals. Corals were exposed in situ to either ambient or enriched nutrient levels in combination with either no damage, mechanical damage, or predation damage from parrotfishes. The activity of PO enzymes in response to both tyrosinase-type substrates significantly decreased under nutrient enrichment, suggesting that corals became immune-compromised. Predation damage also increased laccase activity, implicating it in tissue repair and potentially defense from pathogens. Our findings highlight the need to mitigate nutrient pollution on coral reefs, as higher nutrient levels suppress important coral immune pathways and likely contribute to patterns of increased coral disease and subsequent mortality on reefs plagued by nutrient enrichment.",en
71_Rodriguez-Casariego_FMARS2020,10.3389/fmars.2020.560424,Genome-Wide DNA Methylation Analysis Reveals a Conserved Epigenetic Response to Seasonal Environmental Variation in the Staghorn Coral Acropora cervicornis,30 September 2020,"staghorn coral,DNA methylation,MSAP,stress response,temperature,seasonality,epigenetics","Epigenetic modifications such as DNA methylation have been shown to participate in plastic responses to environmental change in a wide range of organisms, including scleractinian corals. Unfortunately, the current understanding of the links between environmental signals, epigenetic modifications, and the subsequent consequences for acclimatory phenotypic changes remain obscure. Such a knowledge gap extends also to the dynamic nature of epigenetic changes, hampering our ability to ascertain the magnitude and extent of these responses under natural conditions. The present work aims to shed light on these subjects by examining temporal changes in genomewide patterns of DNA methylation in the staghorn coral Acropora cervicornis in the island of Culebra, PR. During a 17-month period, a total of 162 polymorphic loci were identified using Methylation-Sensitive Amplified Polymorphism (MSAP). Among them, 83 of these restriction fragments displayed changes in DNA methylation that were significantly correlated to seasonal variation as determined mostly by changes in sea water temperature. Remarkably, the observed time-dependent variation in DNA methylation patterns is consistent across coral genets, coral source sites and sitespecific conditions studied. Overall, these results are consistent with a conserved epigenetic response to seasonal environmental variation. These findings highlight the importance of including seasonal variability into experimental designs investigating the role of epigenetic mechanisms such as DNA methylation in responses to stress.",en
rsID138_F1_20160810014923,NA,Antibacterial actions of scleractinian corals extracts,NA,"Scleractinian extracts,stony coral extracts,Agar disc diffusion,Minimum Inhibitory Concentration,Minimum Bactericidal Concentration","Thanks for submitting your paper. on behalf of the organizing committee of the 6th IccBES, International congress on chemical, Biological and Environmental sciences (lccBEs 20!6-),we are pleased to inform you that the following submission has been accepted as one of poster Presentation in this conference: lD: L377",en
KHA-NANG-KHANG-KHANG-SINH-CUA-VI-KHUAN-BIEN-TAI-HON-MOT-VINH-NHA-TRANG,10.15625/1859-3097/18/2/8766,"PHÁT HIỆN Bacillus sp. VK2 PHÂN LẬP TỪ Acropora hyacinthus Ở NINH THUẬN KHÁNG VI KHUẨN GÂY BỆNH ""WHITE POX"" CHO SAN HÔ Acropora palmata",NA,"Antimicrobial activity,Bacillus sp. VK2,Acropora hyacinthus,Ninh Thuan","Vi khuẩn sống cùng san hô và vai trò của chúng đối với vật chủ hiện đang là một trong những hướng nghiên cứu mới và thu hút các nhà khoa học toàn thế giới. Trong nghiên cứu vi sinh vật sống cùng một số loài san hô cứng ở Hang Rái, Ninh Thuận, vi khuẩn sống cùng san hô Acropora hyacinthus chủng VK2 được phát hiện là chiếm ưu thế trong tổng số vi khuẩn dị dưỡng hiếu khí. Vi khuẩn này được xác định đến giống, tách chiết chất thô và thử nghiệm khả năng kháng khuẩn với 4 chủng vi khuẩn chuẩn Bacillus subtilis ATCC6633, Salmonella typhimurium ATCC6994, Escherichia coli O157 và Serratia marcescens PDL100 trên môi trường Mueller Hinton Agar bằng phương pháp khuếch tán thạch. Vi khuẩn VK2 được xác định là Bacillus sp. VK2. Kết quả khả năng kháng sinh cho thấy chủng này kháng lại vi khuẩn Serratia marcescens PDL100 là vi khuẩn gây đại dịch bệnh ""white pox"" ở san hô Acropora palmata thành phần đặc trưng của đảo san hô Florida Keys, Hoa Kỳ. Tuy nhiên Bacillus sp.VK2 không kháng lại các vi khuẩn kiểm định khác.",vi
